Date,Region,Product Line,Product,Quantity Sold,Unit Price,Total Sales
2023-01-01,Asia Pacific,Laptops,Laptop A,23,1227.2719958564207,28227.25590469768
2023-01-01,Asia Pacific,Laptops,Laptop B,24,588.4925020519195,14123.820049246067
2023-01-01,Asia Pacific,Laptops,Laptop C,199,825.3303307632643,164240.7358218896
2023-01-01,Asia Pacific,Tablets,Tablet A,84,648.3920660824285,54464.933550924
2023-01-01,Asia Pacific,Tablets,Tablet B,57,552.050699398309,31466.88986570361
2023-01-01,Asia Pacific,Tablets,Tablet C,93,368.56070581242847,34276.14564055585
2023-01-01,Asia Pacific,Tablets,Tablet D,45,377.76410342244947,16999.384654010228
2023-01-01,Asia Pacific,Wearables,Smartwatch A,320,61.182596551965624,19578.430896629
2023-01-01,Asia Pacific,Wearables,Smartwatch B,346,113.51022210595545,39274.53684866059
2023-01-01,Asia Pacific,Wearables,Fitness Tracker,148,79.80735223012586,11811.488130058628
2023-01-01,Latin America,Smartphones,Model A,24,102.81596454301689,2467.5831490324053
2023-01-01,Latin America,Smartphones,Model B,17,242.26839054973,4118.5626393454095
2023-01-01,Latin America,Smartphones,Model C,35,254.25406933718915,8898.89242680162
2023-01-01,Latin America,Smartphones,Model D,5,285.2601757026698,1426.300878513349
2023-01-01,Latin America,Laptops,Laptop A,50,1414.9596755437808,70747.98377718905
2023-01-01,Latin America,Laptops,Laptop B,81,949.4506741382033,76905.50460519447
2023-01-01,Latin America,Laptops,Laptop C,42,563.5583502860236,23669.450712012993
2023-01-01,Latin America,Tablets,Tablet A,27,601.3047515981643,16235.228293150438
2023-01-01,Latin America,Tablets,Tablet B,41,637.7637070028384,26148.311987116373
2023-01-01,Latin America,Tablets,Tablet C,90,732.3276455457959,65909.48809912163
2023-01-01,Latin America,Tablets,Tablet D,69,429.7561248522739,29653.1726148069
2023-01-01,Latin America,Wearables,Smartwatch A,450,156.98671808344926,70644.02313755217
2023-01-01,Latin America,Wearables,Smartwatch B,276,158.259428174731,43679.60217622576
2023-01-01,Latin America,Wearables,Fitness Tracker,274,88.41024841419859,24224.408065490414
2023-01-01,Middle East & Africa,Smartphones,Model A,27,204.5465658763988,5522.757278662768
2023-01-01,Middle East & Africa,Smartphones,Model B,15,122.17816416236627,1832.672462435494
2023-01-01,Middle East & Africa,Smartphones,Model C,13,140.34384046707925,1824.4699260720301
2023-01-01,Middle East & Africa,Smartphones,Model D,32,227.28208225275608,7273.026632088195
2023-01-01,Middle East & Africa,Laptops,Laptop A,61,1063.2755719763836,64859.8098905594
2023-01-01,Middle East & Africa,Laptops,Laptop B,141,1407.566473926093,198466.87282357912
2023-01-01,Middle East & Africa,Laptops,Laptop C,160,1104.4173792778172,176706.78068445076
2023-01-01,Middle East & Africa,Tablets,Tablet A,19,653.3306831258292,12413.282979390755
2023-01-01,Middle East & Africa,Tablets,Tablet B,40,765.7121423347886,30628.485693391543
2023-01-01,Middle East & Africa,Tablets,Tablet C,75,373.85087174826083,28038.815381119563
2023-01-01,Middle East & Africa,Tablets,Tablet D,90,728.2807034091546,65545.26330682392
2023-01-01,Middle East & Africa,Wearables,Smartwatch A,189,171.21805693466254,32360.212760651222
2023-01-01,Middle East & Africa,Wearables,Smartwatch B,460,65.82413897454059,30279.10392828867
2023-01-01,Middle East & Africa,Wearables,Fitness Tracker,303,170.55081153486717,51676.89589506475
2023-01-02,North America,Smartphones,Model A,44,183.30198957407325,8065.287541259223
2023-01-02,North America,Smartphones,Model B,11,164.8690042010548,1813.5590462116027
2023-01-02,North America,Smartphones,Model C,28,171.25956761539499,4795.267893231059
2023-01-02,North America,Smartphones,Model D,33,154.42644987692705,5096.072845938593
2023-01-02,North America,Laptops,Laptop A,36,927.1077886262563,33375.88039054522
2023-01-02,North America,Laptops,Laptop B,125,852.568856334169,106571.10704177113
2023-01-02,North America,Laptops,Laptop C,12,506.9521305311907,6083.425566374288
2023-01-02,North America,Tablets,Tablet A,76,520.4536516252651,39554.47752352015
2023-01-02,North America,Tablets,Tablet B,66,333.26468628243816,21995.46929464092
2023-01-02,North America,Tablets,Tablet C,55,361.64740027911284,19890.607015351205
2023-01-02,North America,Tablets,Tablet D,28,765.7458223475115,21440.883025730323
2023-01-02,North America,Wearables,Smartwatch A,393,82.81463293596053,32546.150743832488
2023-01-02,North America,Wearables,Smartwatch B,491,155.45284383427668,76327.34632262985
2023-01-02,North America,Wearables,Fitness Tracker,132,59.733837066347235,7884.866492757835
2023-01-02,Europe,Smartphones,Model A,12,150.35645916507283,1804.2775099808741
2023-01-02,Europe,Smartphones,Model B,2,242.4541179848884,484.9082359697768
2023-01-02,Europe,Smartphones,Model C,37,156.96809887549352,5807.81965839326
2023-01-02,Europe,Smartphones,Model D,17,153.356202855057,2607.055448535969
2023-01-02,Europe,Laptops,Laptop A,11,1002.6790232288615,11029.469255517477
2023-01-02,Europe,Laptops,Laptop B,63,533.0507329005484,33582.19617273455
2023-01-02,Europe,Laptops,Laptop C,138,739.5618906669724,102059.5409120422
2023-01-02,Europe,Tablets,Tablet A,6,518.5607499902818,3111.364499941691
2023-01-02,Europe,Tablets,Tablet B,94,791.3902724663604,74390.68561183788
2023-01-02,Europe,Tablets,Tablet C,36,555.6180343276361,20002.2492357949
2023-01-02,Europe,Tablets,Tablet D,59,656.9717691972305,38761.3343826366
2023-01-02,Europe,Wearables,Smartwatch A,142,86.32399074161388,12258.006685309172
2023-01-02,Europe,Wearables,Smartwatch B,313,105.16746990788798,32917.41808116894
2023-01-02,Europe,Wearables,Fitness Tracker,391,197.51347113422645,77227.76721348254
2023-01-02,Asia Pacific,Smartphones,Model A,22,207.1549368149517,4557.408609928937
2023-01-02,Asia Pacific,Smartphones,Model B,48,259.66902499691025,12464.113199851692
2023-01-02,Asia Pacific,Smartphones,Model C,9,164.15601299434718,1477.4041169491247
2023-01-02,Asia Pacific,Smartphones,Model D,6,239.16256135817636,1434.975368149058
2023-01-02,Asia Pacific,Laptops,Laptop A,12,1090.8929431882418,13090.715318258903
2023-01-02,Asia Pacific,Laptops,Laptop B,196,720.2410475655483,141167.24532284748
2023-01-02,Asia Pacific,Laptops,Laptop C,99,1012.093058299281,100197.21277162882
2023-01-02,Asia Pacific,Tablets,Tablet A,23,409.1995923750376,9411.590624625864
2023-01-02,Asia Pacific,Tablets,Tablet B,75,304.61985740299485,22846.489305224615
2023-01-02,Asia Pacific,Tablets,Tablet C,37,438.5432126525134,16226.098868142995
2023-01-02,Asia Pacific,Tablets,Tablet D,43,762.0379932420407,32767.63370940775
2023-01-02,Asia Pacific,Wearables,Smartwatch A,148,151.3535175558921,22400.320598272032
2023-01-02,Asia Pacific,Wearables,Smartwatch B,460,67.02102818608836,30829.672965600646
2023-01-02,Asia Pacific,Wearables,Fitness Tracker,170,131.21719607413488,22306.923332602928
2023-01-02,Latin America,Smartphones,Model A,42,151.58832554303112,6366.709672807307
2023-01-02,Latin America,Smartphones,Model B,16,263.4444400402432,4215.111040643891
2023-01-02,Latin America,Smartphones,Model C,49,148.37045818009034,7270.1524508244265
2023-01-02,Latin America,Smartphones,Model D,48,293.0838702577587,14068.025772372417
2023-01-02,Latin America,Laptops,Laptop A,46,1382.6363431893396,63601.27178670962
2023-01-02,Latin America,Laptops,Laptop B,18,778.8713525921819,14019.684346659275
2023-01-02,Latin America,Laptops,Laptop C,156,1225.9556788702394,191249.08590375734
2023-01-02,Latin America,Tablets,Tablet A,7,713.7945751268554,4996.562025887988
2023-01-02,Latin America,Tablets,Tablet B,58,667.9253275145743,38739.668995845306
2023-01-02,Latin America,Tablets,Tablet C,28,710.5570692605077,19895.597939294214
2023-01-02,Latin America,Tablets,Tablet D,76,671.2043906683662,51011.533690795826
2023-01-02,Latin America,Wearables,Smartwatch A,123,140.9643589489385,17338.616150719434
2023-01-02,Latin America,Wearables,Smartwatch B,246,105.84241498426147,26037.23408612832
2023-01-02,Latin America,Wearables,Fitness Tracker,492,149.52526536620837,73566.43056017451
2023-01-02,Middle East & Africa,Smartphones,Model A,29,156.78419494749315,4546.741653477301
2023-01-02,Middle East & Africa,Smartphones,Model B,46,209.74675787331722,9648.350862172592
2023-01-02,Middle East & Africa,Smartphones,Model C,35,230.3922519005201,8063.7288165182035
2023-01-02,Middle East & Africa,Smartphones,Model D,41,135.1850505354691,5542.587071954233
2023-01-02,Middle East & Africa,Laptops,Laptop A,77,737.2490874968,56768.1797372536
2023-01-02,Middle East & Africa,Laptops,Laptop B,30,678.8227092213288,20364.68127663986
2023-01-02,Middle East & Africa,Laptops,Laptop C,137,1244.1705230565622,170451.36165874903
2023-01-02,Middle East & Africa,Tablets,Tablet A,71,594.567735380206,42214.30921199463
2023-01-02,Middle East & Africa,Tablets,Tablet B,37,525.5241383329396,19444.393118318767
2023-01-02,Middle East & Africa,Tablets,Tablet C,63,420.6294818356601,26499.657355646585
2023-01-02,Middle East & Africa,Tablets,Tablet D,26,346.3937860274501,9006.238436713704
2023-01-02,Middle East & Africa,Wearables,Smartwatch A,57,196.83392874125136,11219.533938251327
2023-01-02,Middle East & Africa,Wearables,Smartwatch B,70,183.806983276567,12866.48882935969
2023-01-02,Middle East & Africa,Wearables,Fitness Tracker,302,115.1591548265643,34778.06475762242
2023-01-03,North America,Smartphones,Model A,21,200.5274186210384,4211.075791041807
2023-01-03,North America,Smartphones,Model B,28,233.78481193261993,6545.974734113358
2023-01-03,North America,Smartphones,Model C,33,139.0485975596089,4588.603719467094
2023-01-03,North America,Smartphones,Model D,48,156.15447248817117,7495.414679432216
2023-01-03,North America,Laptops,Laptop A,44,1268.554014306309,55816.3766294776
2023-01-03,North America,Laptops,Laptop B,26,1494.550510797341,38858.313280730865
2023-01-03,North America,Laptops,Laptop C,167,1453.9285770025874,242806.0723594321
2023-01-03,North America,Tablets,Tablet A,10,422.0952201532666,4220.952201532666
2023-01-03,North America,Tablets,Tablet B,41,756.9911375526352,31036.636639658045
2023-01-03,North America,Tablets,Tablet C,50,779.9928914262017,38999.644571310084
2023-01-03,North America,Tablets,Tablet D,64,711.805673280416,45555.56308994663
2023-01-03,North America,Wearables,Smartwatch A,210,95.85455289307728,20129.45610754623
2023-01-03,North America,Wearables,Smartwatch B,435,177.67050072752852,77286.6678164749
2023-01-03,North America,Wearables,Fitness Tracker,275,122.79198114144735,33767.79481389802
2023-01-03,Europe,Smartphones,Model A,18,211.36025249167002,3804.4845448500605
2023-01-03,Europe,Smartphones,Model B,31,268.84262814526227,8334.12147250313
2023-01-03,Europe,Smartphones,Model C,3,214.012234017873,642.036702053619
2023-01-03,Europe,Smartphones,Model D,24,141.78374352307202,3402.8098445537285
2023-01-03,Europe,Laptops,Laptop A,184,1490.0538501042633,274169.90841918444
2023-01-03,Europe,Laptops,Laptop B,136,1018.3296523637367,138492.8327214682
2023-01-03,Europe,Laptops,Laptop C,139,822.5507642386006,114334.55622916548
2023-01-03,Europe,Tablets,Tablet A,37,281.97279886521727,10432.993558013039
2023-01-03,Europe,Tablets,Tablet B,52,531.6919861447446,27647.98327952672
2023-01-03,Europe,Tablets,Tablet C,46,685.6166932871081,31538.367891206974
2023-01-03,Europe,Tablets,Tablet D,54,720.2433911480622,38893.14312199536
2023-01-03,Europe,Wearables,Smartwatch A,32,62.239127060036054,1991.6520659211537
2023-01-03,Europe,Wearables,Smartwatch B,410,125.22744420307994,51343.25212326278
2023-01-03,Europe,Wearables,Fitness Tracker,192,79.14109302680633,15195.089861146815
2023-01-03,Asia Pacific,Smartphones,Model A,8,240.39337545154066,1923.1470036123253
2023-01-03,Asia Pacific,Smartphones,Model B,16,110.1537062078794,1762.4592993260703
2023-01-03,Asia Pacific,Smartphones,Model C,23,105.52335437474095,2427.0371506190418
2023-01-03,Asia Pacific,Smartphones,Model D,34,118.7963879681738,4039.0771909179093
2023-01-03,Asia Pacific,Laptops,Laptop A,95,828.152667474732,78674.50341009954
2023-01-03,Asia Pacific,Laptops,Laptop B,195,1042.6446347075766,203315.70376797745
2023-01-03,Asia Pacific,Laptops,Laptop C,134,1338.9335020693634,179417.0892772947
2023-01-03,Asia Pacific,Tablets,Tablet A,62,218.30014996342965,13534.609297732639
2023-01-03,Asia Pacific,Tablets,Tablet B,56,223.3008406576539,12504.847076828619
2023-01-03,Asia Pacific,Tablets,Tablet C,19,416.11438484675773,7906.173312088396
2023-01-03,Asia Pacific,Tablets,Tablet D,64,395.9907450776245,25343.40768496797
2023-01-03,Asia Pacific,Wearables,Smartwatch A,283,165.49903296479164,46836.226329036035
2023-01-03,Asia Pacific,Wearables,Smartwatch B,127,143.43357137285005,18216.063564351956
2023-01-03,Asia Pacific,Wearables,Fitness Tracker,215,176.30346125179722,37905.2441691364
2023-01-03,Latin America,Smartphones,Model A,32,206.27092631362962,6600.669642036148
2023-01-03,Latin America,Smartphones,Model B,47,239.90244215343876,11275.41478121162
2023-01-03,Latin America,Smartphones,Model C,40,245.21826674453231,9808.730669781293
2023-01-03,Latin America,Smartphones,Model D,13,293.9073734228318,3820.7958544968137
2023-01-03,Latin America,Laptops,Laptop A,115,822.9564729412459,94639.99438824329
2023-01-03,Latin America,Laptops,Laptop B,154,898.8209014447946,138418.41882249835
2023-01-03,Latin America,Laptops,Laptop C,28,938.9714207056361,26291.19977975781
2023-01-03,Latin America,Tablets,Tablet A,59,350.5163164079967,20680.462668071807
2023-01-03,Latin America,Tablets,Tablet B,94,777.589048806755,73093.37058783497
2023-01-03,Latin America,Tablets,Tablet C,27,456.98868496406465,12338.694494029745
2023-01-03,Latin America,Tablets,Tablet D,16,445.3717666485619,7125.94826637699
2023-01-03,Latin America,Wearables,Smartwatch A,77,187.28205914397208,14420.71855408585
2023-01-03,Latin America,Wearables,Smartwatch B,258,87.5364347246893,22584.40015896984
2023-01-03,Latin America,Wearables,Fitness Tracker,145,64.08099351219376,9291.744059268094
2023-01-03,Middle East & Africa,Smartphones,Model A,25,232.03947534354626,5800.986883588656
2023-01-03,Middle East & Africa,Smartphones,Model B,1,290.9730561326388,290.9730561326388
2023-01-03,Middle East & Africa,Smartphones,Model C,39,231.42226570003336,9025.4683623013
2023-01-03,Middle East & Africa,Smartphones,Model D,5,222.34414924687044,1111.7207462343522
2023-01-03,Middle East & Africa,Laptops,Laptop A,85,1066.0372104940761,90613.16289199647
2023-01-03,Middle East & Africa,Laptops,Laptop B,188,1257.846110464369,236475.0687673014
2023-01-03,Middle East & Africa,Laptops,Laptop C,194,841.8796667164015,163324.6553429819
2023-01-03,Middle East & Africa,Tablets,Tablet A,96,227.60158521305164,21849.752180452957
2023-01-03,Middle East & Africa,Tablets,Tablet B,98,713.2763504066044,69901.08233984723
2023-01-03,Middle East & Africa,Tablets,Tablet C,73,484.5042974523951,35368.813714024844
2023-01-03,Middle East & Africa,Tablets,Tablet D,94,658.0186538023465,61853.75345742057
2023-01-03,Middle East & Africa,Wearables,Smartwatch A,360,121.02076561708485,43567.475622150545
2023-01-03,Middle East & Africa,Wearables,Smartwatch B,308,119.70107194094172,36867.93015781005
2023-01-03,Middle East & Africa,Wearables,Fitness Tracker,376,109.775710159606,41275.66702001186
2023-01-04,North America,Smartphones,Model A,10,289.8291463182772,2898.291463182772
2023-01-04,North America,Smartphones,Model B,36,109.0608019544089,3926.1888703587206
2023-01-04,North America,Smartphones,Model C,31,103.06090805807695,3194.8881498003852
2023-01-04,North America,Smartphones,Model D,19,200.62725171601755,3811.9177826043333
2023-01-04,North America,Laptops,Laptop A,10,1039.3774484000626,10393.774484000625
2023-01-04,North America,Laptops,Laptop B,13,1115.8511643899137,14506.06513706888
2023-01-04,North America,Laptops,Laptop C,89,1142.4192782063155,101675.31576036208
2023-01-04,North America,Tablets,Tablet A,96,551.465348764078,52940.67348135149
2023-01-04,North America,Tablets,Tablet B,95,680.5695768094398,64654.10979689678
2023-01-04,North America,Tablets,Tablet C,16,432.90195572391315,6926.43129158261
2023-01-04,North America,Tablets,Tablet D,37,474.95173429490995,17573.21416891167
2023-01-04,North America,Wearables,Smartwatch A,198,173.0959213615933,34272.99242959547
2023-01-04,North America,Wearables,Smartwatch B,287,107.91539567011614,30971.718557323333
2023-01-04,North America,Wearables,Fitness Tracker,436,147.7227157786682,64407.10407949934
2023-01-04,Europe,Smartphones,Model A,43,139.15822695785928,5983.803759187949
2023-01-04,Europe,Smartphones,Model B,13,142.91782394167484,1857.931711241773
2023-01-04,Europe,Smartphones,Model C,46,103.64436513030995,4767.640795994258
2023-01-04,Europe,Smartphones,Model D,35,167.3108429777453,5855.879504221085
2023-01-04,Europe,Laptops,Laptop A,99,818.9756302937612,81078.58739908236
2023-01-04,Europe,Laptops,Laptop B,163,1181.6136689727896,192603.0280425647
2023-01-04,Europe,Laptops,Laptop C,171,760.6945282359031,130078.76432833944
2023-01-04,Europe,Tablets,Tablet A,11,270.89889657299375,2979.8878623029314
2023-01-04,Europe,Tablets,Tablet B,79,726.4832081162318,57392.17344118231
2023-01-04,Europe,Tablets,Tablet C,40,450.76761902934726,18030.70476117389
2023-01-04,Europe,Tablets,Tablet D,40,306.4637262678337,12258.549050713347
2023-01-04,Europe,Wearables,Smartwatch A,476,135.27804256249374,64392.34825974702
2023-01-04,Europe,Wearables,Smartwatch B,246,198.575771300101,48849.639739824845
2023-01-04,Europe,Wearables,Fitness Tracker,55,105.80271286891747,5819.14920779046
2023-01-04,Asia Pacific,Smartphones,Model A,39,216.10880246878196,8428.243296282497
2023-01-04,Asia Pacific,Smartphones,Model B,23,286.15146512071294,6581.483697776398
2023-01-04,Asia Pacific,Smartphones,Model C,37,147.71937195806805,5465.616762448518
2023-01-04,Asia Pacific,Smartphones,Model D,13,247.9817520894749,3223.7627771631737
2023-01-04,Asia Pacific,Laptops,Laptop A,108,603.1238688359326,65137.37783428072
2023-01-04,Asia Pacific,Laptops,Laptop B,26,1034.3274735305636,26892.514311794654
2023-01-04,Asia Pacific,Laptops,Laptop C,93,1326.4574661077418,123360.54434801999
2023-01-04,Asia Pacific,Tablets,Tablet A,90,378.58110470558654,34072.29942350279
2023-01-04,Asia Pacific,Tablets,Tablet B,23,433.52100724049785,9970.98316653145
2023-01-04,Asia Pacific,Tablets,Tablet C,16,775.124898129919,12401.998370078703
2023-01-04,Asia Pacific,Tablets,Tablet D,23,254.77200607168015,5859.7561396486435
2023-01-04,Asia Pacific,Wearables,Smartwatch A,474,193.52013276896844,91728.54293249104
2023-01-04,Asia Pacific,Wearables,Smartwatch B,242,192.5910720406334,46607.039433833284
2023-01-04,Asia Pacific,Wearables,Fitness Tracker,358,123.95384866577075,44375.47782234593
2023-01-04,Latin America,Smartphones,Model A,16,189.68910439566395,3035.025670330623
2023-01-04,Latin America,Smartphones,Model B,35,220.4881851802238,7717.086481307833
2023-01-04,Latin America,Smartphones,Model C,21,250.474905887536,5259.973023638257
2023-01-04,Latin America,Smartphones,Model D,23,256.25921009424053,5893.9618321675325
2023-01-04,Latin America,Laptops,Laptop A,48,591.2061030486904,28377.89294633714
2023-01-04,Latin America,Laptops,Laptop B,51,1474.2482085344102,75186.65863525492
2023-01-04,Latin America,Laptops,Laptop C,151,1049.5288823237356,158478.86123088407
2023-01-04,Latin America,Tablets,Tablet A,9,642.2213340746052,5779.992006671448
2023-01-04,Latin America,Tablets,Tablet B,97,410.5490075312472,39823.253730530974
2023-01-04,Latin America,Tablets,Tablet C,22,781.191166384481,17186.20566045858
2023-01-04,Latin America,Tablets,Tablet D,13,656.9063790304833,8539.782927396283
2023-01-04,Latin America,Wearables,Smartwatch A,420,65.16840141841854,27370.728595735785
2023-01-04,Latin America,Wearables,Smartwatch B,26,113.91372125704117,2961.7567526830708
2023-01-04,Latin America,Wearables,Fitness Tracker,187,60.91445095462903,11391.00232851563
2023-01-04,Middle East & Africa,Smartphones,Model A,27,241.24844543129925,6513.708026645079
2023-01-04,Middle East & Africa,Smartphones,Model B,5,202.66523373847858,1013.3261686923929
2023-01-04,Middle East & Africa,Smartphones,Model C,38,297.32791570023505,11298.460796608932
2023-01-04,Middle East & Africa,Smartphones,Model D,48,272.6277043978008,13086.129811094439
2023-01-04,Middle East & Africa,Laptops,Laptop A,95,1312.7995672575025,124715.95888946274
2023-01-04,Middle East & Africa,Laptops,Laptop B,80,1486.001063822871,118880.08510582967
2023-01-04,Middle East & Africa,Laptops,Laptop C,141,850.2182467003136,119880.77278474421
2023-01-04,Middle East & Africa,Tablets,Tablet A,35,489.0001927784692,17115.00674724642
2023-01-04,Middle East & Africa,Tablets,Tablet B,58,623.0506185779959,36136.93587752376
2023-01-04,Middle East & Africa,Tablets,Tablet C,78,743.8126310568416,58017.385222433644
2023-01-04,Middle East & Africa,Tablets,Tablet D,43,460.6711066929628,19808.8575877974
2023-01-04,Middle East & Africa,Wearables,Smartwatch A,192,51.70304671511286,9926.98496930167
2023-01-04,Middle East & Africa,Wearables,Smartwatch B,239,135.72095378075159,32437.30795359963
2023-01-04,Middle East & Africa,Wearables,Fitness Tracker,167,67.82268744021079,11326.388802515201
2023-01-05,North America,Smartphones,Model A,41,248.8423313886596,10202.535586935044
2023-01-05,North America,Smartphones,Model B,3,216.67375301943193,650.0212590582958
2023-01-05,North America,Smartphones,Model C,49,116.57826433867085,5712.3349525948715
2023-01-05,North America,Smartphones,Model D,33,144.71916770389052,4775.7325342283875
2023-01-05,North America,Laptops,Laptop A,143,1302.1092490267342,186201.622610823
2023-01-05,North America,Laptops,Laptop B,182,1469.878826707639,267517.9464607903
2023-01-05,North America,Laptops,Laptop C,70,822.6863882775837,57588.047179430854
2023-01-05,North America,Tablets,Tablet A,84,516.6206654517799,43396.13589794951
2023-01-05,North America,Tablets,Tablet B,79,751.4694291671957,59366.08490420846
2023-01-05,North America,Tablets,Tablet C,40,532.3125706407925,21292.502825631702
2023-01-05,North America,Tablets,Tablet D,24,245.26072825386154,5886.257478092677
2023-01-05,North America,Wearables,Smartwatch A,66,144.40979572028937,9531.046517539098
2023-01-05,North America,Wearables,Smartwatch B,33,94.17409202591449,3107.745036855178
2023-01-05,North America,Wearables,Fitness Tracker,20,144.13371201260952,2882.6742402521904
2023-01-05,Europe,Smartphones,Model A,3,280.23160209819775,840.6948062945933
2023-01-05,Europe,Smartphones,Model B,11,156.19263791844605,1718.1190171029066
2023-01-05,Europe,Smartphones,Model C,32,111.57277955154149,3570.3289456493276
2023-01-05,Europe,Smartphones,Model D,38,191.13135055714258,7262.991321171418
2023-01-05,Europe,Laptops,Laptop A,165,835.6600647969632,137883.91069149892
2023-01-05,Europe,Laptops,Laptop B,131,688.1211597237614,90143.87192381274
2023-01-05,Europe,Laptops,Laptop C,99,888.2683839898722,87938.57001499734
2023-01-05,Europe,Tablets,Tablet A,64,550.1936671105232,35212.39469507348
2023-01-05,Europe,Tablets,Tablet B,96,416.20705712316095,39955.87748382345
2023-01-05,Europe,Tablets,Tablet C,68,471.94450809729864,32092.226550616306
2023-01-05,Europe,Tablets,Tablet D,67,521.6578198064722,34951.073927033634
2023-01-05,Europe,Wearables,Smartwatch A,436,111.68100813082793,48692.91954504098
2023-01-05,Europe,Wearables,Smartwatch B,480,152.7096758830819,73300.6444238793
2023-01-05,Europe,Wearables,Fitness Tracker,432,69.97776878356245,30230.39611449898
2023-01-05,Asia Pacific,Smartphones,Model A,35,264.50744858463383,9257.760700462184
2023-01-05,Asia Pacific,Smartphones,Model B,18,183.32781154769583,3299.900607858525
2023-01-05,Asia Pacific,Smartphones,Model C,5,222.683039187158,1113.41519593579
2023-01-05,Asia Pacific,Smartphones,Model D,2,116.54968400706123,233.09936801412246
2023-01-05,Asia Pacific,Laptops,Laptop A,39,1366.0638895004083,53276.491690515926
2023-01-05,Asia Pacific,Laptops,Laptop B,118,664.8342611370009,78450.4428141661
2023-01-05,Asia Pacific,Laptops,Laptop C,42,1277.6022837352257,53659.29591687948
2023-01-05,Asia Pacific,Tablets,Tablet A,22,792.3656775889667,17432.044906957268
2023-01-05,Asia Pacific,Tablets,Tablet B,53,426.04338196276444,22580.299244026515
2023-01-05,Asia Pacific,Tablets,Tablet C,30,428.53451397861295,12856.035419358388
2023-01-05,Asia Pacific,Tablets,Tablet D,90,697.4985324239087,62774.86791815179
2023-01-05,Asia Pacific,Wearables,Smartwatch A,196,175.74930570667067,34446.86391850745
2023-01-05,Asia Pacific,Wearables,Smartwatch B,117,55.52328014539871,6496.223777011649
2023-01-05,Asia Pacific,Wearables,Fitness Tracker,404,52.050794724049595,21028.52106851604
2023-01-05,Latin America,Smartphones,Model A,6,238.3428794337824,1430.0572766026944
2023-01-05,Latin America,Smartphones,Model B,5,299.9435346572261,1499.7176732861305
2023-01-05,Latin America,Smartphones,Model C,38,282.63315045152854,10740.059717158085
2023-01-05,Latin America,Smartphones,Model D,23,253.7974830361021,5837.342109830349
2023-01-05,Latin America,Laptops,Laptop A,174,1257.081202042456,218732.12915538735
2023-01-05,Latin America,Laptops,Laptop B,92,747.3481017431976,68756.02536037419
2023-01-05,Latin America,Laptops,Laptop C,87,705.0453285065249,61338.943580067666
2023-01-05,Latin America,Tablets,Tablet A,5,772.4306163552334,3862.153081776167
2023-01-05,Latin America,Tablets,Tablet B,81,324.3365894048339,26271.263741791547
