"UMR","Binder","YOA","Months","Premium","Earned","Total Claims","Quarter","YTD Premium","YTD Earned","YTD Total Claims","Loss Ratio"
"BW00136","Block of Flats","2017","6/28/2017","106000","84800","8000","Q2_2017","621000","496800","40500","0.075471698"
"BW00136","Block of Flats","2017","7/31/2017","107000","85600","8500","Q3_2017","728000","582400","49000","0.079439252"
"BW00136","Block of Flats","2017","8/28/2017","108000","86400","9000","Q3_2017","836000","668800","58000","0.083333333"
"BW00136","Block of Flats","2017","10/1/2017","109000","87200","9500","Q4_2017","945000","756000","67500","0.087155963"
"BW00136","Block of Flats","2017","10/28/2017","110000","88000","10000","Q4_2017","1055000","844000","77500","0.090909091"
"BW00136","Block of Flats","2017","12/1/2017","111000","88800","10500","Q4_2017","1166000","932800","88000","0.094594595"
"BW00136","Block of Flats","2017","12/28/2017","112000","89600","11000","Q4_2017","1278000","1022400","99000","0.098214286"
"BW00153","Retail","2015","1/31/2015","101000","80800","5500","Q1_2015","101000","80800","5500","0.054455446"
"BW00153","Retail","2015","2/28/2015","102000","81600","6000","Q1_2015","203000","162400","11500","0.058823529"
"BW00153","Retail","2015","3/31/2015","103000","82400","6500","Q1_2015","306000","244800","18000","0.063106796"
"BW00153","Retail","2015","4/28/2015","104000","83200","7000","Q2_2015","410000","328000","25000","0.067307692"
"BW00153","Retail","2015","5/31/2015","105000","84000","7500","Q2_2015","515000","412000","32500","0.071428571"
"BW00153","Retail","2015","6/28/2015","106000","84800","8000","Q2_2015","621000","496800","40500","0.075471698"
"BW00153","Retail","2015","7/31/2015","107000","85600","8500","Q3_2015","728000","582400","49000","0.079439252"
"BW00153","Retail","2015","8/28/2015","108000","86400","9000","Q3_2015","836000","668800","58000","0.083333333"
"BW00153","Retail","2015","10/1/2015","109000","87200","9500","Q4_2015","945000","756000","67500","0.087155963"
"BW00153","Retail","2015","10/28/2015","110000","88000","10000","Q4_2015","1055000","844000","77500","0.090909091"
"BW00153","Retail","2015","12/1/2015","111000","88800","10500","Q4_2015","1166000","932800","88000","0.094594595"
"BW00153","Retail","2015","12/28/2015","112000","89600","11000","Q4_2015","1278000","1022400","99000","0.098214286"
"BW00153","Retail","2016","1/31/2016","101000","80800","5500","Q1_2016","101000","80800","5500","0.054455446"
"BW00153","Retail","2016","2/28/2016","102000","81600","6000","Q1_2016","203000","162400","11500","0.058823529"
"BW00153","Retail","2016","3/31/2016","103000","82400","6500","Q1_2016","306000","244800","18000","0.063106796"
"BW00153","Retail","2016","4/28/2016","104000","83200","7000","Q2_2016","410000","328000","25000","0.067307692"
"BW00153","Retail","2016","5/31/2016","105000","84000","7500","Q2_2016","515000","412000","32500","0.071428571"
"BW00153","Retail","2016","6/28/2016","106000","84800","8000","Q2_2016","621000","496800","40500","0.075471698"
"BW00153","Retail","2016","7/31/2016","107000","85600","8500","Q3_2016","728000","582400","49000","0.079439252"
"BW00153","Retail","2016","8/28/2016","108000","86400","9000","Q3_2016","836000","668800","58000","0.083333333"
"BW00153","Retail","2016","10/1/2016","109000","87200","9500","Q4_2016","945000","756000","67500","0.087155963"
"BW00153","Retail","2016","10/28/2016","110000","88000","10000","Q4_2016","1055000","844000","77500","0.090909091"
"BW00153","Retail","2016","12/1/2016","111000","88800","10500","Q4_2016","1166000","932800","88000","0.094594595"
"BW00153","Retail","2016","12/28/2016","112000","89600","11000","Q4_2016","1278000","1022400","99000","0.098214286"
"BW00153","Retail","2017","1/31/2017","101000","80800","5500","Q1_2017","101000","80800","5500","0.054455446"
"BW00153","Retail","2017","2/28/2017","102000","81600","6000","Q1_2017","203000","162400","11500","0.058823529"
"BW00153","Retail","2017","3/31/2017","103000","82400","6500","Q1_2017","306000","244800","18000","0.063106796"
"BW00153","Retail","2017","4/28/2017","104000","83200","7000","Q2_2017","410000","328000","25000","0.067307692"
"BW00153","Retail","2017","5/31/2017","105000","84000","7500","Q2_2017","515000","412000","32500","0.071428571"
"BW00153","Retail","2017","6/28/2017","106000","84800","8000","Q2_2017","621000","496800","40500","0.075471698"
"BW00153","Retail","2017","7/31/2017","107000","85600","8500","Q3_2017","728000","582400","49000","0.079439252"
"BW00153","Retail","2017","8/28/2017","108000","86400","9000","Q3_2017","836000","668800","58000","0.083333333"
"BW00153","Retail","2017","10/1/2017","109000","87200","9500","Q4_2017","945000","756000","67500","0.087155963"
"BW00153","Retail","2017","10/28/2017","110000","88000","10000","Q4_2017","1055000","844000","77500","0.090909091"
"BW00153","Retail","2017","12/1/2017","111000","88800","10500","Q4_2017","1166000","932800","88000","0.094594595"
"BW00153","Retail","2017","12/28/2017","112000","89600","11000","Q4_2017","1278000","1022400","99000","0.098214286"
"BW00154","Wholesale","2015","1/31/2015","101000","80800","5500","Q1_2015","101000","80800","5500","0.054455446"
"BW00154","Wholesale","2015","2/28/2015","102000","81600","6000","Q1_2015","203000","162400","11500","0.058823529"
"BW00154","Wholesale","2015","3/31/2015","103000","82400","6500","Q1_2015","306000","244800","18000","0.063106796"
"BW00154","Wholesale","2015","4/28/2015","104000","83200","7000","Q2_2015","410000","328000","25000","0.067307692"
"BW00154","Wholesale","2015","5/31/2015","105000","84000","7500","Q2_2015","515000","412000","32500","0.071428571"
"BW00154","Wholesale","2015","6/28/2015","106000","84800","8000","Q2_2015","621000","496800","40500","0.075471698"
"BW00154","Wholesale","2015","7/31/2015","107000","85600","8500","Q3_2015","728000","582400","49000","0.079439252"
"BW00154","Wholesale","2015","8/28/2015","108000","86400","9000","Q3_2015","836000","668800","58000","0.083333333"
"BW00154","Wholesale","2015","10/1/2015","109000","87200","9500","Q4_2015","945000","756000","67500","0.087155963"
"BW00154","Wholesale","2015","10/28/2015","110000","88000","10000","Q4_2015","1055000","844000","77500","0.090909091"
"BW00154","Wholesale","2015","12/1/2015","111000","88800","10500","Q4_2015","1166000","932800","88000","0.094594595"
"BW00154","Wholesale","2015","12/28/2015","112000","89600","11000","Q4_2015","1278000","1022400","99000","0.098214286"
"BW00154","Wholesale","2016","1/31/2016","101000","80800","5500","Q1_2016","101000","80800","5500","0.054455446"
"BW00154","Wholesale","2016","2/28/2016","102000","81600","6000","Q1_2016","203000","162400","11500","0.058823529"
"BW00154","Wholesale","2016","3/31/2016","103000","82400","6500","Q1_2016","306000","244800","18000","0.063106796"
"BW00154","Wholesale","2016","4/28/2016","104000","83200","7000","Q2_2016","410000","328000","25000","0.067307692"
"BW00154","Wholesale","2016","5/31/2016","105000","84000","7500","Q2_2016","515000","412000","32500","0.071428571"
"BW00154","Wholesale","2016","6/28/2016","106000","84800","8000","Q2_2016","621000","496800","40500","0.075471698"
"BW00154","Wholesale","2016","7/31/2016","107000","85600","8500","Q3_2016","728000","582400","49000","0.079439252"
"BW00154","Wholesale","2016","8/28/2016","108000","86400","9000","Q3_2016","836000","668800","58000","0.083333333"
"BW00154","Wholesale","2016","10/1/2016","109000","87200","9500","Q4_2016","945000","756000","67500","0.087155963"
"BW00154","Wholesale","2016","10/28/2016","110000","88000","10000","Q4_2016","1055000","844000","77500","0.090909091"
"BW00154","Wholesale","2016","12/1/2016","111000","88800","10500","Q4_2016","1166000","932800","88000","0.094594595"
"BW00154","Wholesale","2016","12/28/2016","112000","89600","11000","Q4_2016","1278000","1022400","99000","0.098214286"
"BW00154","Wholesale","2017","1/31/2017","101000","80800","5500","Q1_2017","101000","80800","5500","0.054455446"
"BW00154","Wholesale","2017","2/28/2017","102000","81600","6000","Q1_2017","203000","162400","11500","0.058823529"
"BW00154","Wholesale","2017","3/31/2017","103000","82400","6500","Q1_2017","306000","244800","18000","0.063106796"
"BW00154","Wholesale","2017","4/28/2017","104000","83200","7000","Q2_2017","410000","328000","25000","0.067307692"
"BW00154","Wholesale","2017","5/31/2017","105000","84000","7500","Q2_2017","515000","412000","32500","0.071428571"
"BW00154","Wholesale","2017","6/28/2017","106000","84800","8000","Q2_2017","621000","496800","40500","0.075471698"
"BW00154","Wholesale","2017","7/31/2017","107000","85600","8500","Q3_2017","728000","582400","49000","0.079439252"
"BW00154","Wholesale","2017","8/28/2017","108000","86400","9000","Q3_2017","836000","668800","58000","0.083333333"
"BW00154","Wholesale","2017","10/1/2017","109000","87200","9500","Q4_2017","945000","756000","67500","0.087155963"
"BW00154","Wholesale","2017","10/28/2017","110000","88000","10000","Q4_2017","1055000","844000","77500","0.090909091"
"BW00154","Wholesale","2017","12/1/2017","111000","88800","10500","Q4_2017","1166000","932800","88000","0.094594595"
"BW00154","Wholesale","2017","12/28/2017","112000","89600","11000","Q4_2017","1278000","1022400","99000","0.098214286"
"BW00136","Block of Flats","2015","1/31/2015","101000","80800","5500","","1379000","1103200","104500","0.054455446"
"BW00136","Block of Flats","2015","2/28/2015","102000","81600","6000","","1481000","1184800","110500","0.058823529"
"BW00136","Block of Flats","2015","3/31/2015","103000","82400","6500","","1584000","1267200","117000","0.063106796"
"BW00136","Block of Flats","2015","4/28/2015","104000","83200","7000","","1688000","1350400","124000","0.067307692"
"BW00136","Block of Flats","2015","5/31/2015","105000","84000","7500","","1793000","1434400","131500","0.071428571"
"BW00136","Block of Flats","2015","6/28/2015","106000","84800","8000","","1899000","1519200","139500","0.075471698"
"BW00136","Block of Flats","2015","7/31/2015","107000","85600","8500","","2006000","1604800","148000","0.079439252"
"BW00136","Block of Flats","2015","8/28/2015","108000","86400","9000","","2114000","1691200","157000","0.083333333"
"BW00136","Block of Flats","2015","10/1/2015","109000","87200","9500","","2223000","1778400","166500","0.087155963"
"BW00136","Block of Flats","2015","10/28/2015","110000","88000","10000","","2333000","1866400","176500","0.090909091"
"BW00136","Block of Flats","2015","12/1/2015","111000","88800","10500","","2444000","1955200","187000","0.094594595"
"BW00136","Block of Flats","2015","12/28/2015","112000","89600","11000","","2556000","2044800","198000","0.098214286"
"BW00153","Retail","2015","1/31/2015","101000","80800","5500","","1379000","1103200","104500","0.054455446"
"BW00153","Retail","2015","2/28/2015","102000","81600","6000","","1481000","1184800","110500","0.058823529"
"BW00153","Retail","2015","3/31/2015","103000","82400","6500","","1584000","1267200","117000","0.063106796"
"BW00153","Retail","2015","4/28/2015","104000","83200","7000","","1688000","1350400","124000","0.067307692"
"BW00153","Retail","2015","5/31/2015","105000","84000","7500","","1793000","1434400","131500","0.071428571"
"BW00153","Retail","2015","6/28/2015","106000","84800","8000","","1899000","1519200","139500","0.075471698"
"BW00153","Retail","2015","7/31/2015","107000","85600","8500","","2006000","1604800","148000","0.079439252"
"BW00153","Retail","2015","8/28/2015","108000","86400","9000","","2114000","1691200","157000","0.083333333"
"BW00153","Retail","2015","10/1/2015","109000","87200","9500","","2223000","1778400","166500","0.087155963"
"BW00153","Retail","2015","10/28/2015","110000","88000","10000","","2333000","1866400","176500","0.090909091"
"BW00153","Retail","2015","12/1/2015","111000","88800","10500","","2444000","1955200","187000","0.094594595"
"BW00153","Retail","2015","12/28/2015","112000","89600","11000","","2556000","2044800","198000","0.098214286"
"BW00154","Wholesale","2015","1/31/2015","101000","80800","5500","","1379000","1103200","104500","0.054455446"
"BW00154","Wholesale","2015","2/28/2015","102000","81600","6000","","1481000","1184800","110500","0.058823529"
"BW00154","Wholesale","2015","3/31/2015","103000","82400","6500","","1584000","1267200","117000","0.063106796"
"BW00154","Wholesale","2015","4/28/2015","104000","83200","7000","","1688000","1350400","124000","0.067307692"
"BW00154","Wholesale","2015","5/31/2015","105000","84000","7500","","1793000","1434400","131500","0.071428571"
"BW00154","Wholesale","2015","6/28/2015","106000","84800","8000","","1899000","1519200","139500","0.075471698"
"BW00154","Wholesale","2015","7/31/2015","107000","85600","8500","","2006000","1604800","148000","0.079439252"
"BW00154","Wholesale","2015","8/28/2015","108000","86400","9000","","2114000","1691200","157000","0.083333333"
"BW00154","Wholesale","2015","10/1/2015","109000","87200","9500","","2223000","1778400","166500","0.087155963"
"BW00154","Wholesale","2015","10/28/2015","110000","88000","10000","","2333000","1866400","176500","0.090909091"
"BW00154","Wholesale","2015","12/1/2015","111000","88800","10500","","2444000","1955200","187000","0.094594595"
"BW00154","Wholesale","2015","12/28/2015","112000","89600","11000","","2556000","2044800","198000","0.098214286"
"BW00136","Block of Flats","2016","1/31/2016","106000","84800","5750","","1384000","1107200","104750","0.054245283"
"BW00136","Block of Flats","2016","2/28/2016","107000","85600","6250","","1491000","1192800","111000","0.058411215"
"BW00136","Block of Flats","2016","3/31/2016","108000","86400","6750","","1599000","1279200","117750","0.0625"
"BW00136","Block of Flats","2016","4/28/2016","109000","87200","7250","","1708000","1366400","125000","0.066513761"
"BW00136","Block of Flats","2016","5/31/2016","110000","88000","7750","","1818000","1454400","132750","0.070454545"
"BW00136","Block of Flats","2016","6/28/2016","111000","88800","8250","","1929000","1543200","141000","0.074324324"
"BW00136","Block of Flats","2016","7/31/2016","112000","89600","8750","","2041000","1632800","149750","0.078125"
"BW00136","Block of Flats","2016","8/28/2016","113000","90400","9250","","2154000","1723200","159000","0.081858407"
"BW00136","Block of Flats","2016","10/1/2016","114000","91200","9750","","2268000","1814400","168750","0.085526316"
"BW00136","Block of Flats","2016","10/28/2016","115000","92000","10250","","2383000","1906400","179000","0.089130435"
"BW00136","Block of Flats","2016","12/1/2016","116000","92800","10750","","2499000","1999200","189750","0.092672414"
"BW00136","Block of Flats","2016","12/28/2016","117000","93600","11250","","2616000","2092800","201000","0.096153846"
"BW00153","Retail","2016","1/31/2016","106000","84800","5750","","1384000","1107200","104750","0.054245283"
"BW00153","Retail","2016","2/28/2016","107000","85600","6250","","1491000","1192800","111000","0.058411215"
"BW00153","Retail","2016","3/31/2016","108000","86400","6750","","1599000","1279200","117750","0.0625"
"BW00153","Retail","2016","4/28/2016","109000","87200","7250","","1708000","1366400","125000","0.066513761"
"BW00153","Retail","2016","5/31/2016","110000","88000","7750","","1818000","1454400","132750","0.070454545"
"BW00153","Retail","2016","6/28/2016","111000","88800","8250","","1929000","1543200","141000","0.074324324"
"BW00153","Retail","2016","7/31/2016","112000","89600","8750","","2041000","1632800","149750","0.078125"
"BW00153","Retail","2016","8/28/2016","113000","90400","9250","","2154000","1723200","159000","0.081858407"
"BW00153","Retail","2016","10/1/2016","114000","91200","9750","","2268000","1814400","168750","0.085526316"
"BW00153","Retail","2016","10/28/2016","115000","92000","10250","","2383000","1906400","179000","0.089130435"
"BW00153","Retail","2016","12/1/2016","116000","92800","10750","","2499000","1999200","189750","0.092672414"
"BW00153","Retail","2016","12/28/2016","117000","93600","11250","","2616000","2092800","201000","0.096153846"
"BW00154","Wholesale","2016","1/31/2016","106000","84800","5750","","1384000","1107200","104750","0.054245283"
"BW00154","Wholesale","2016","2/28/2016","107000","85600","6250","","1491000","1192800","111000","0.058411215"
"BW00154","Wholesale","2016","3/31/2016","108000","86400","6750","","1599000","1279200","117750","0.0625"
"BW00154","Wholesale","2016","4/28/2016","109000","87200","7250","","1708000","1366400","125000","0.066513761"
"BW00154","Wholesale","2016","5/31/2016","110000","88000","7750","","1818000","1454400","132750","0.070454545"
"BW00154","Wholesale","2016","6/28/2016","111000","88800","8250","","1929000","1543200","141000","0.074324324"
"BW00154","Wholesale","2016","7/31/2016","112000","89600","8750","","2041000","1632800","149750","0.078125"
"BW00154","Wholesale","2016","8/28/2016","113000","90400","9250","","2154000","1723200","159000","0.081858407"
"BW00154","Wholesale","2016","10/1/2016","114000","91200","9750","","2268000","1814400","168750","0.085526316"
"BW00154","Wholesale","2016","10/28/2016","115000","92000","10250","","2383000","1906400","179000","0.089130435"
"BW00154","Wholesale","2016","12/1/2016","116000","92800","10750","","2499000","1999200","189750","0.092672414"
"BW00154","Wholesale","2016","12/28/2016","117000","93600","11250","","2616000","2092800","201000","0.096153846"
"BW00136","Block of Flats","2017","1/31/2017","111000","88800","6000","","1389000","1111200","105000","0.054054054"
"BW00136","Block of Flats","2017","2/28/2017","112000","89600","6500","","1501000","1200800","111500","0.058035714"
"BW00136","Block of Flats","2017","3/31/2017","113000","90400","7000","","1614000","1291200","118500","0.061946903"
"BW00136","Block of Flats","2017","4/28/2017","114000","91200","7500","","1728000","1382400","126000","0.065789474"
"BW00136","Block of Flats","2017","5/31/2017","115000","92000","8000","","1843000","1474400","134000","0.069565217"
"BW00136","Block of Flats","2017","6/28/2017","116000","92800","8500","","1959000","1567200","142500","0.073275862"
"BW00136","Block of Flats","2017","7/31/2017","117000","93600","9000","","2076000","1660800","151500","0.076923077"
"BW00136","Block of Flats","2017","8/28/2017","118000","94400","9500","","2194000","1755200","161000","0.080508475"
"BW00136","Block of Flats","2017","10/1/2017","119000","95200","10000","","2313000","1850400","171000","0.084033613"
"BW00136","Block of Flats","2017","10/28/2017","120000","96000","10500","","2433000","1946400","181500","0.0875"
"BW00136","Block of Flats","2017","12/1/2017","121000","96800","11000","","2554000","2043200","192500","0.090909091"
"BW00136","Block of Flats","2017","12/28/2017","122000","97600","11500","","2676000","2140800","204000","0.094262295"
"BW00153","Retail","2017","1/31/2017","111000","88800","6000","","1389000","1111200","105000","0.054054054"
"BW00153","Retail","2017","2/28/2017","112000","89600","6500","","1501000","1200800","111500","0.058035714"
"BW00153","Retail","2017","3/31/2017","113000","90400","7000","","1614000","1291200","118500","0.061946903"
"BW00153","Retail","2017","4/28/2017","114000","91200","7500","","1728000","1382400","126000","0.065789474"
"BW00153","Retail","2017","5/31/2017","115000","92000","8000","","1843000","1474400","134000","0.069565217"
"BW00153","Retail","2017","6/28/2017","116000","92800","8500","","1959000","1567200","142500","0.073275862"
"BW00153","Retail","2017","7/31/2017","117000","93600","9000","","2076000","1660800","151500","0.076923077"
"BW00153","Retail","2017","8/28/2017","118000","94400","9500","","2194000","1755200","161000","0.080508475"
"BW00153","Retail","2017","10/1/2017","119000","95200","10000","","2313000","1850400","171000","0.084033613"
"BW00153","Retail","2017","10/28/2017","120000","96000","10500","","2433000","1946400","181500","0.0875"
"BW00153","Retail","2017","12/1/2017","121000","96800","11000","","2554000","2043200","192500","0.090909091"
"BW00153","Retail","2017","12/28/2017","122000","97600","11500","","2676000","2140800","204000","0.094262295"
"BW00154","Wholesale","2017","1/31/2017","111000","88800","6000","","1389000","1111200","105000","0.054054054"
"BW00154","Wholesale","2017","2/28/2017","112000","89600","6500","","1501000","1200800","111500","0.058035714"
"BW00154","Wholesale","2017","3/31/2017","113000","90400","7000","","1614000","1291200","118500","0.061946903"
"BW00154","Wholesale","2017","4/28/2017","114000","91200","7500","","1728000","1382400","126000","0.065789474"
"BW00154","Wholesale","2017","5/31/2017","115000","92000","8000","","1843000","1474400","134000","0.069565217"
"BW00154","Wholesale","2017","6/28/2017","116000","92800","8500","","1959000","1567200","142500","0.073275862"
"BW00154","Wholesale","2017","7/31/2017","117000","93600","9000","","2076000","1660800","151500","0.076923077"
"BW00154","Wholesale","2017","8/28/2017","118000","94400","9500","","2194000","1755200","161000","0.080508475"
"BW00154","Wholesale","2017","10/1/2017","119000","95200","10000","","2313000","1850400","171000","0.084033613"
"BW00154","Wholesale","2017","10/28/2017","120000","96000","10500","","2433000","1946400","181500","0.0875"
"BW00154","Wholesale","2017","12/1/2017","121000","96800","11000","","2554000","2043200","192500","0.090909091"
"BW00154","Wholesale","2017","12/28/2017","122000","97600","11500","","2676000","2140800","204000","0.094262295"
"BW00136","Block of Flats","2018","1/31/2018","116000","92800","6250","","116000","92800","6250","0.05387931"
"BW00136","Block of Flats","2018","2/28/2018","117000","93600","6750","","233000","186400","13000","0.057692308"
"BW00136","Block of Flats","2018","3/31/2018","118000","94400","7250","","351000","280800","20250","0.061440678"
"BW00136","Block of Flats","2018","4/28/2018","119000","95200","7750","","470000","376000","28000","0.06512605"
"BW00136","Block of Flats","2018","5/31/2018","120000","96000","8250","","590000","472000","36250","0.06875"
"BW00136","Block of Flats","2018","6/28/2018","121000","96800","8750","","711000","568800","45000","0.07231405"
"BW00136","Block of Flats","2018","7/31/2018","122000","97600","9250","","833000","666400","54250","0.075819672"
"BW00136","Block of Flats","2018","8/28/2018","123000","98400","9750","","956000","764800","64000","0.079268293"
"BW00136","Block of Flats","2018","10/1/2018","124000","99200","10250","","1080000","864000","74250","0.08266129"
"BW00136","Block of Flats","2018","10/28/2018","125000","100000","10750","","1205000","964000","85000","0.086"
"BW00136","Block of Flats","2018","12/1/2018","126000","100800","11250","","1331000","1064800","96250","0.089285714"
"BW00136","Block of Flats","2018","12/28/2018","127000","101600","11750","","1458000","1166400","108000","0.092519685"
"BW00153","Retail","2018","1/31/2018","116000","92800","6250","","116000","92800","6250","0.05387931"
"BW00153","Retail","2018","2/28/2018","117000","93600","6750","","233000","186400","13000","0.057692308"
"BW00153","Retail","2018","3/31/2018","118000","94400","7250","","351000","280800","20250","0.061440678"
"BW00153","Retail","2018","4/28/2018","119000","95200","7750","","470000","376000","28000","0.06512605"
"BW00153","Retail","2018","5/31/2018","120000","96000","8250","","590000","472000","36250","0.06875"
"BW00153","Retail","2018","6/28/2018","121000","96800","8750","","711000","568800","45000","0.07231405"
"BW00153","Retail","2018","7/31/2018","122000","97600","9250","","833000","666400","54250","0.075819672"
"BW00153","Retail","2018","8/28/2018","123000","98400","9750","","956000","764800","64000","0.079268293"
"BW00153","Retail","2018","10/1/2018","124000","99200","10250","","1080000","864000","74250","0.08266129"
"BW00153","Retail","2018","10/28/2018","125000","100000","10750","","1205000","964000","85000","0.086"
"BW00153","Retail","2018","12/1/2018","126000","100800","11250","","1331000","1064800","96250","0.089285714"
"BW00153","Retail","2018","12/28/2018","127000","101600","11750","","1458000","1166400","108000","0.092519685"
"BW00154","Wholesale","2018","1/31/2018","116000","92800","6250","","116000","92800","6250","0.05387931"
"BW00154","Wholesale","2018","2/28/2018","117000","93600","6750","","233000","186400","13000","0.057692308"
"BW00154","Wholesale","2018","3/31/2018","118000","94400","7250","","351000","280800","20250","0.061440678"
"BW00154","Wholesale","2018","4/28/2018","119000","95200","7750","","470000","376000","28000","0.06512605"
"BW00154","Wholesale","2018","5/31/2018","120000","96000","8250","","590000","472000","36250","0.06875"
"BW00154","Wholesale","2018","6/28/2018","121000","96800","8750","","711000","568800","45000","0.07231405"
"BW00154","Wholesale","2018","7/31/2018","122000","97600","9250","","833000","666400","54250","0.075819672"
"BW00154","Wholesale","2018","8/28/2018","123000","98400","9750","","956000","764800","64000","0.079268293"
"BW00154","Wholesale","2018","10/1/2018","124000","99200","10250","","1080000","864000","74250","0.08266129"
"BW00154","Wholesale","2018","10/28/2018","125000","100000","10750","","1205000","964000","85000","0.086"
"BW00154","Wholesale","2018","12/1/2018","126000","100800","11250","","1331000","1064800","96250","0.089285714"
"BW00154","Wholesale","2018","12/28/2018","127000","101600","11750","","1458000","1166400","108000","0.092519685"
"BW00136","Block of Flats","2019","1/31/2019","121000","96800","6500","","121000","96800","6500","0.053719008"
"BW00136","Block of Flats","2019","2/28/2019","122000","97600","7000","","243000","194400","13500","0.057377049"
"BW00136","Block of Flats","2019","3/31/2019","123000","98400","7500","","366000","292800","21000","0.06097561"
"BW00136","Block of Flats","2019","4/28/2019","124000","99200","8000","","490000","392000","29000","0.064516129"
"BW00136","Block of Flats","2019","5/31/2019","125000","100000","8500","","615000","492000","37500","0.068"
"BW00136","Block of Flats","2019","6/28/2019","126000","100800","9000","","741000","592800","46500","0.071428571"
"BW00136","Block of Flats","2019","7/31/2019","127000","101600","9500","","868000","694400","56000","0.07480315"
"BW00136","Block of Flats","2019","8/28/2019","128000","102400","10000","","996000","796800","66000","0.078125"
"BW00136","Block of Flats","2019","10/1/2019","129000","103200","10500","","1125000","900000","76500","0.081395349"
"BW00136","Block of Flats","2019","10/28/2019","130000","104000","11000","","1255000","1004000","87500","0.084615385"
"BW00136","Block of Flats","2019","12/1/2019","131000","104800","11500","","1386000","1108800","99000","0.08778626"
"BW00136","Block of Flats","2019","12/28/2019","132000","105600","12000","","1518000","1214400","111000","0.090909091"
"BW00153","Retail","2019","1/31/2019","121000","96800","6500","","121000","96800","6500","0.053719008"
"BW00153","Retail","2019","2/28/2019","122000","97600","7000","","243000","194400","13500","0.057377049"
"BW00153","Retail","2019","3/31/2019","123000","98400","7500","","366000","292800","21000","0.06097561"
"BW00153","Retail","2019","4/28/2019","124000","99200","8000","","490000","392000","29000","0.064516129"
"BW00153","Retail","2019","5/31/2019","125000","100000","8500","","615000","492000","37500","0.068"
"BW00153","Retail","2019","6/28/2019","126000","100800","9000","","741000","592800","46500","0.071428571"
"BW00153","Retail","2019","7/31/2019","127000","101600","9500","","868000","694400","56000","0.07480315"
